id,customer_id,product_id,Qty,Date
219,58,209,19,04.07.2014
220,11,234,18,15.12.2015
221,36,139,5,05.12.2013
222,41,318,16,03.12.2014
223,39,114,15,28.07.2015
224,24,144,7,22.10.2015
225,47,266,10,14.11.2015
226,39,323,15,29.03.2015
227,27,121,15,11.01.2015
228,16,97,3,21.06.2014
229,17,121,15,30.04.2015
230,22,26,17,10.12.2015
231,64,491,19,16.09.2015
232,6,433,19,05.09.2014
233,66,409,11,12.07.2015
234,41,196,18,08.05.2014
235,36,440,1,26.06.2014
236,42,378,3,03.11.2015
237,55,80,3,01.12.2014
238,5,356,6,02.07.2014
239,64,365,10,11.02.2014
240,65,208,10,09.09.2014
241,8,471,3,13.03.2014
242,57,188,20,27.01.2016
243,30,56,7,03.06.2015
244,71,156,2,28.01.2014
245,22,337,1,23.07.2014
246,51,500,7,14.02.2015
247,38,226,20,10.04.2014
248,21,23,13,06.01.2015
249,59,157,2,04.08.2015
250,19,247,13,27.09.2014
251,65,406,4,16.06.2014
252,65,157,10,16.10.2015
253,33,16,2,18.06.2014
254,58,345,12,10.06.2014
255,48,275,11,11.09.2014
256,57,28,16,31.05.2015
257,31,3,20,02.09.2015
258,10,2,5,14.09.2015
259,40,112,9,03.06.2014
260,62,378,20,28.11.2014
261,53,345,11,25.01.2015
262,6,359,16,09.02.2014
263,37,164,9,10.04.2015
264,28,379,11,17.05.2014
265,30,199,1,05.03.2015
266,28,395,10,16.03.2014
267,15,103,12,08.02.2014
268,38,141,11,12.03.2015
269,55,73,10,16.07.2015
270,41,250,13,17.10.2015
271,50,216,20,26.04.2014
272,33,117,11,06.08.2015
273,71,216,14,01.01.2014
274,72,43,2,24.07.2014
275,35,227,1,01.08.2014
276,19,184,14,15.11.2014
277,28,29,10,26.12.2013
278,57,287,4,08.02.2015
279,30,249,3,02.10.2014
280,28,310,10,12.02.2014
281,25,121,17,10.07.2015
282,13,184,10,24.06.2014
283,29,170,7,23.06.2014
284,41,87,5,29.08.2014
285,36,247,12,08.02.2014
286,37,213,9,06.04.2015
287,23,85,17,15.06.2014
288,59,176,9,18.07.2015
289,10,310,8,29.06.2015
290,35,116,18,18.05.2014
291,72,101,18,02.11.2015
292,7,313,20,12.11.2014
293,46,497,10,02.11.2015
294,24,225,5,27.01.2014
295,10,399,8,24.09.2014
296,47,361,7,12.07.2015
297,32,379,20,27.04.2014
298,29,329,8,07.10.2014
299,70,58,16,04.01.2015
300,48,313,13,06.05.2015
301,55,136,12,10.01.2014
302,45,279,10,24.01.2014
303,8,352,9,03.03.2015
304,38,65,1,31.12.2014
305,33,468,18,16.07.2014
306,12,438,17,27.08.2015
307,66,1,16,09.09.2014
308,33,148,3,10.01.2015
309,52,145,11,03.02.2015
310,37,447,9,08.07.2014
311,25,87,8,17.09.2014
312,22,497,15,18.11.2014
313,21,382,6,25.04.2014
314,70,432,18,06.09.2014
315,12,119,8,16.12.2015
316,29,7,3,04.06.2014
317,17,476,13,03.12.2015
318,23,468,11,30.04.2014
319,58,78,6,09.07.2014
320,65,328,18,18.01.2016
321,45,236,2,11.05.2014
322,28,221,20,10.03.2014
323,34,245,17,29.09.2015
324,31,127,14,28.12.2014
325,10,157,15,01.08.2015
326,51,90,6,23.03.2014
327,53,22,10,27.06.2015
328,42,407,19,19.05.2014
329,27,43,4,16.05.2015
330,27,416,10,10.01.2016
331,55,119,12,03.05.2015
332,10,436,20,19.01.2014
333,46,92,4,20.07.2014
334,66,272,7,29.05.2015
335,18,315,2,22.01.2015
336,42,138,6,30.11.2015
337,58,487,16,05.01.2015
338,17,185,2,27.04.2014
339,15,285,15,29.05.2015
340,15,293,11,02.09.2015
341,53,291,5,22.04.2014
342,53,154,5,19.06.2014
343,46,113,3,08.10.2015
344,8,428,5,23.07.2015
345,59,488,20,21.12.2013
346,39,338,11,25.06.2014
347,65,457,11,29.05.2015
348,44,376,3,17.07.2015
349,56,86,18,23.12.2015
350,13,364,17,23.05.2015
351,21,42,10,01.10.2015
352,71,437,15,17.02.2014
353,27,45,19,03.09.2014
354,42,20,10,17.03.2015
355,32,256,16,06.02.2014
356,29,329,5,19.04.2015
357,43,263,1,08.01.2015
358,56,204,13,27.07.2014
359,65,41,2,11.08.2014
360,65,347,7,02.04.2015
361,69,424,1,17.01.2014
362,28,361,18,07.05.2014
363,38,483,13,16.08.2014
364,63,45,9,06.03.2015
365,11,256,20,15.07.2014
366,15,469,8,30.01.2016
367,33,53,7,14.12.2014
368,52,468,18,02.09.2015
369,15,290,3,21.08.2014
370,32,419,10,10.01.2016
371,8,98,13,08.06.2015
372,48,11,6,09.01.2016
373,68,222,19,08.11.2015
374,7,385,16,19.05.2014
375,18,460,15,02.08.2015
376,70,247,9,19.06.2015
377,24,153,10,21.06.2015
378,34,460,17,11.09.2015
379,24,120,16,29.06.2014
380,27,346,20,01.11.2014
381,7,201,14,27.06.2014
382,32,379,14,09.12.2013
383,31,212,4,22.01.2016
384,18,286,18,07.01.2015
385,12,178,11,19.10.2015
386,50,189,9,17.03.2014
387,57,444,15,08.07.2015
388,23,224,5,25.04.2015
389,62,110,8,18.05.2015
390,50,458,15,23.07.2015
391,64,257,7,19.07.2015
392,10,196,2,01.01.2015
393,54,259,14,12.09.2014
394,34,431,6,21.09.2014
395,66,349,3,02.06.2014
396,10,1,10,13.12.2014
397,34,468,10,28.01.2015
398,14,481,11,18.03.2015
399,23,102,1,17.03.2014
400,17,438,10,18.11.2015
401,50,276,18,18.03.2015
402,64,356,13,24.04.2015
403,56,493,13,29.05.2015
404,48,216,8,14.12.2013
405,61,259,14,15.07.2015
406,23,481,1,27.02.2015
407,9,344,13,02.10.2014
408,48,182,2,06.07.2015
409,53,290,12,02.12.2014
410,59,121,8,03.06.2015
411,8,139,17,03.12.2014
412,6,260,11,03.10.2015
413,15,235,5,27.07.2015
414,38,498,1,17.01.2016
415,44,297,2,07.03.2014
416,15,308,3,08.08.2015
417,34,124,18,03.08.2014
418,70,308,2,20.06.2014
419,45,438,14,06.06.2015
420,43,326,11,28.03.2014
421,23,34,14,10.06.2015
422,22,89,5,17.05.2015
423,55,384,20,05.08.2014
424,25,400,3,17.12.2014
425,34,166,20,31.05.2014
426,69,170,17,10.12.2015
427,12,490,8,26.07.2015
428,35,83,4,15.01.2016
429,12,135,7,13.05.2015
430,27,153,13,05.01.2015
431,49,5,19,22.06.2015
432,31,63,7,14.10.2015
433,39,293,17,22.11.2014
434,45,360,17,06.09.2014
435,43,385,7,02.11.2014
436,11,458,19,31.05.2015
437,49,499,20,04.05.2015
438,22,279,6,22.05.2015
439,17,109,10,16.08.2014
440,70,150,20,01.02.2014
441,65,29,3,16.11.2015
442,32,230,20,15.11.2014
443,6,41,10,04.05.2015
444,12,42,20,13.05.2015
445,30,16,16,23.01.2015
446,26,35,6,01.01.2016
447,11,118,8,16.03.2015
448,35,60,3,04.02.2015
449,20,261,11,29.09.2014
450,50,256,4,22.07.2014
451,17,438,4,26.02.2015
452,8,61,19,07.10.2014
453,49,380,14,13.05.2015
454,12,5,1,04.07.2015
455,65,403,20,06.01.2016
456,7,69,10,14.07.2014
457,68,453,11,17.07.2015
458,33,434,14,01.05.2014
459,27,461,2,08.11.2015
460,72,200,10,18.10.2015
461,67,129,12,12.05.2015
462,5,460,11,15.06.2015
463,64,419,13,14.09.2014
464,61,264,11,18.09.2014
465,14,336,20,11.03.2014
466,39,36,5,04.02.2015
467,57,114,2,01.11.2014
468,51,454,16,20.10.2015
469,23,267,10,07.04.2015
470,70,481,19,18.04.2015
471,17,109,9,04.08.2014
472,9,383,12,25.02.2014
473,20,180,10,15.12.2014
474,16,438,12,17.10.2015
475,48,283,16,02.09.2014
476,23,127,3,27.01.2016
477,69,306,13,22.01.2015
478,8,407,6,28.12.2014
479,40,471,3,18.05.2015
480,9,292,16,16.03.2014
481,48,179,18,17.01.2015
482,18,464,12,23.09.2014
483,32,33,2,02.02.2014
484,61,484,9,09.02.2014
485,9,188,14,09.01.2016
486,5,201,9,28.02.2014
487,57,473,20,27.12.2015
488,60,399,5,18.07.2014
489,31,493,13,10.04.2014
490,48,319,3,03.12.2013
491,43,353,18,06.10.2015
492,31,74,16,11.09.2015
493,70,496,1,01.05.2014
494,65,297,19,11.09.2014
495,15,94,15,06.09.2014
496,41,453,20,23.12.2014
497,29,292,8,09.12.2014
498,64,260,1,05.12.2014
499,30,121,13,25.04.2015
500,11,310,2,27.01.2016
501,64,353,4,06.06.2014
502,47,393,4,18.12.2015
503,57,88,17,05.01.2015
504,62,313,16,25.01.2016
505,35,444,20,30.05.2015
506,19,429,18,30.01.2015
507,7,227,20,16.01.2015
508,42,338,4,19.01.2015
509,35,204,16,13.05.2014
510,7,149,13,13.12.2013
511,13,482,19,15.01.2014
512,27,378,9,28.12.2015
513,23,55,6,07.08.2015
514,33,454,20,27.07.2015
515,66,153,4,06.05.2015
516,13,327,12,02.07.2015
517,35,170,5,08.05.2015
518,34,139,19,18.02.2014
519,37,338,15,31.12.2014
520,40,24,1,09.04.2014
521,5,417,9,30.08.2015
522,16,489,8,18.12.2015
523,57,120,17,22.09.2015
524,59,278,5,27.02.2015
525,34,180,11,18.09.2015
526,10,308,1,09.05.2014
527,60,394,4,22.04.2015
528,29,494,15,19.08.2014
529,63,457,9,06.12.2015
530,18,407,14,28.08.2014
531,12,50,16,05.11.2015
532,16,33,17,03.03.2014
533,45,297,11,19.04.2015
534,24,439,18,26.06.2014
535,10,488,18,01.07.2015
536,46,340,14,25.01.2014
537,43,12,7,15.08.2015
538,26,175,20,16.02.2014
539,18,85,20,31.03.2015
540,13,267,10,29.12.2014
541,71,151,12,14.05.2015
542,6,468,1,18.01.2014
543,25,384,17,08.05.2015
544,18,422,3,26.10.2015
545,5,313,15,08.01.2015
546,32,397,13,17.03.2015
547,44,425,1,07.02.2014
548,5,197,4,08.11.2014
549,50,275,18,18.05.2014
550,58,85,18,26.03.2015
551,30,90,2,17.10.2014
552,28,135,15,31.08.2015
553,19,329,14,15.12.2015
554,10,77,7,08.12.2014
555,45,362,19,04.01.2016
556,35,42,8,11.01.2014
557,27,107,6,28.05.2014
558,72,127,12,16.10.2014
559,18,310,8,25.01.2016
560,11,242,7,29.12.2014
561,60,109,5,12.09.2014
562,40,123,16,13.08.2014
563,7,497,5,25.12.2013
564,21,192,8,19.12.2015
565,70,166,10,10.09.2015
566,33,149,12,19.03.2014
567,62,287,12,03.06.2014
568,13,476,11,06.06.2015
569,66,227,8,28.04.2014
570,57,214,6,27.08.2015
571,29,57,8,11.12.2013
572,53,63,8,13.10.2015
573,58,479,4,21.02.2015
574,39,47,15,23.07.2015
575,31,369,17,17.01.2016
576,33,424,10,21.09.2014
577,8,451,17,21.08.2014
578,45,218,12,19.05.2015
579,53,175,15,11.07.2015
580,17,103,8,13.07.2014
581,64,466,15,10.09.2014
582,7,47,11,22.12.2013
583,61,258,20,14.01.2014
584,16,313,8,13.11.2015
585,43,187,13,16.09.2015
586,21,132,10,26.11.2015
587,52,252,2,13.12.2013
588,38,136,6,20.07.2014
589,51,492,18,27.02.2014
590,5,494,2,03.11.2014
591,48,395,5,24.01.2014
592,72,308,15,10.02.2015
593,11,415,17,04.01.2016
594,55,59,9,19.04.2015
595,37,437,16,30.08.2014
596,25,189,19,02.08.2015
597,48,81,7,10.02.2015
598,69,211,10,01.12.2015
599,19,334,16,25.11.2014
600,13,209,13,22.11.2015
601,34,307,12,01.05.2015
602,7,437,14,22.09.2014
603,70,265,14,21.07.2014
604,72,305,4,12.07.2014
605,58,144,9,06.10.2014
606,72,185,4,12.10.2015
607,38,107,9,16.01.2014
608,66,116,3,25.11.2015
609,6,82,5,06.12.2013
610,48,192,14,20.11.2014
611,22,240,8,11.10.2014
612,72,86,10,23.10.2014
613,24,118,16,11.10.2015
614,6,249,9,23.04.2015
615,27,91,18,14.09.2014
616,47,54,1,20.02.2015
617,66,188,16,11.08.2014
618,48,459,1,21.03.2015
619,5,58,19,27.12.2014
620,15,303,19,30.05.2015
621,5,474,6,01.11.2015
622,42,349,1,05.07.2014
623,42,42,16,11.04.2014
624,30,263,12,22.01.2015
625,49,236,4,16.12.2015
626,57,52,5,05.01.2014
627,49,204,10,04.08.2014
628,51,85,6,22.05.2014
629,29,237,6,04.10.2015
630,27,273,20,27.12.2013
631,58,273,14,07.03.2015
632,32,136,14,09.10.2015
633,37,154,18,24.12.2014
634,63,494,13,29.01.2016
635,48,256,15,22.05.2014
636,46,370,9,30.07.2014
637,61,446,18,01.08.2014
638,45,382,7,17.01.2016
639,24,215,3,07.10.2014
640,18,393,14,17.02.2015
641,45,433,7,14.10.2014
642,48,263,8,29.09.2015
643,7,113,4,30.10.2014
644,38,219,17,22.05.2014
645,69,403,12,04.08.2015
646,47,459,19,16.09.2014
647,48,452,10,08.12.2014
648,64,118,14,01.07.2015
649,10,266,14,27.11.2015
650,14,425,5,10.02.2015
651,11,205,1,22.07.2014
652,39,156,5,20.01.2014
653,18,438,5,22.11.2014
654,52,420,11,21.08.2015
655,63,391,3,15.08.2014
656,6,491,12,31.01.2015
657,11,285,16,25.09.2015
658,30,294,10,17.08.2015
659,70,231,18,26.12.2014
660,63,57,8,13.10.2014
661,34,485,11,09.03.2014
662,67,304,12,22.02.2014
663,15,255,18,20.01.2016
664,10,144,20,24.07.2014
665,35,293,13,05.07.2014
666,16,124,8,25.05.2015
667,65,76,2,25.08.2014
668,10,352,10,26.06.2014
669,33,138,2,04.08.2015
670,68,116,4,20.12.2013
671,25,498,5,30.01.2016
672,35,82,17,04.10.2015
673,5,205,14,13.02.2014
674,57,87,13,18.07.2014
675,21,100,8,06.06.2014
676,67,468,20,01.06.2014
677,40,163,17,04.11.2015
678,71,204,11,27.02.2014
679,9,112,11,04.02.2014
680,51,346,2,10.03.2014
681,27,432,15,11.10.2015
682,52,448,13,27.01.2015
683,37,229,2,05.03.2015
684,40,79,13,02.06.2014
685,36,448,2,11.12.2013
686,22,408,19,08.07.2014
687,44,107,10,09.11.2015
688,72,57,10,23.10.2014
689,12,18,6,20.01.2015
690,25,63,4,27.07.2015
691,66,327,20,04.01.2014
692,18,71,13,04.11.2014
693,35,196,19,26.12.2014
694,34,373,7,25.09.2014
695,25,225,11,14.04.2014
696,15,347,18,03.02.2014
697,19,268,9,04.09.2015
698,20,175,3,18.02.2014
699,18,420,11,01.02.2014
700,51,328,1,03.02.2014
701,44,32,18,19.11.2014
702,17,174,2,15.12.2015
703,66,448,15,28.10.2015
704,62,408,20,17.12.2014
705,66,117,1,29.11.2015
706,48,319,8,04.01.2015
707,18,425,17,30.12.2014
708,36,355,19,24.06.2015
709,71,6,3,13.10.2014
710,22,13,20,31.12.2013
711,41,463,19,20.10.2014
712,17,241,13,03.10.2014
713,18,402,14,17.01.2016
714,28,11,18,12.07.2015
715,25,51,17,24.11.2014
716,52,67,13,14.12.2015
717,51,91,16,18.08.2015
718,48,448,9,21.07.2014
719,67,229,10,01.07.2015
720,13,5,13,24.10.2014
721,71,257,10,24.02.2014
722,50,309,17,18.04.2014
723,50,235,2,21.03.2014
724,33,226,13,21.07.2014
725,19,373,20,08.03.2014
726,34,344,10,03.03.2014
727,44,218,5,19.12.2013
728,24,372,16,25.10.2014
729,12,464,19,08.10.2015
730,61,494,12,05.06.2015
731,22,228,8,12.06.2014
732,24,175,17,24.03.2014
733,6,500,14,08.03.2015
734,28,176,13,25.12.2014
735,28,334,10,29.05.2014
736,7,93,8,09.05.2015
737,48,222,20,20.04.2015
738,8,269,1,25.01.2014
739,27,366,3,09.09.2014
740,64,59,15,15.11.2014
741,46,222,16,25.03.2014
742,58,379,9,12.03.2014
743,57,209,8,12.07.2015
744,17,98,3,16.02.2015
745,59,344,19,19.04.2015
746,29,126,19,25.07.2014
747,8,499,17,09.09.2015
748,56,99,11,02.02.2014
749,42,319,8,01.08.2015
750,32,399,1,16.03.2014
751,10,336,3,10.05.2015
752,68,175,6,17.11.2015
753,54,492,15,06.10.2014
754,56,55,11,22.10.2015
755,53,134,8,03.04.2014
756,20,448,7,29.07.2015
757,13,218,5,11.08.2014
758,19,365,6,07.05.2014
759,63,412,12,29.06.2015
760,11,232,4,01.09.2014
761,63,483,6,12.02.2015
762,61,308,11,02.11.2014
763,49,21,10,15.10.2014
764,53,210,9,08.09.2015
765,29,238,9,21.10.2014
766,41,328,20,07.01.2014
767,56,203,7,16.02.2015
768,10,96,17,19.06.2015
769,67,468,17,09.03.2015
770,39,164,16,19.08.2015
771,69,229,11,10.03.2015
772,14,465,4,01.02.2014
773,12,400,18,24.05.2014
774,55,307,18,10.12.2015
775,43,36,2,22.06.2015
776,68,162,17,03.01.2016
777,47,261,3,29.11.2014
778,31,47,8,18.02.2014
779,53,233,7,19.07.2015
780,40,92,3,23.11.2015
781,47,306,19,25.07.2015
782,51,458,18,02.05.2014
783,50,271,6,02.06.2015
784,33,32,9,13.09.2015
785,32,396,8,17.04.2015
786,8,343,13,10.04.2015
787,45,486,4,30.01.2016
788,65,180,5,17.12.2013
789,25,137,7,27.11.2015
790,47,383,15,25.02.2014
791,38,15,16,08.04.2014
792,40,218,19,25.03.2015
793,62,356,11,27.12.2014
794,14,288,6,02.08.2014
795,40,244,5,27.11.2015
796,35,287,18,25.09.2014
797,67,181,3,24.12.2014
798,61,161,10,13.01.2014
799,9,239,14,05.01.2015
800,11,462,20,12.05.2015
801,44,204,15,15.12.2014
802,71,455,11,11.04.2015
803,48,240,12,11.07.2014
804,58,453,12,25.03.2015
805,8,478,10,09.08.2014
806,37,293,14,31.07.2014
807,9,271,13,29.09.2015
808,50,123,18,08.12.2013
809,38,125,10,27.01.2015
810,19,15,14,11.08.2015
811,11,64,1,26.09.2014
812,58,195,6,29.08.2015
813,12,263,18,29.04.2014
814,70,429,3,29.12.2015
815,30,235,10,14.10.2014
816,58,255,18,26.06.2014
817,57,341,8,16.08.2014
818,5,306,2,21.08.2015
819,37,183,9,11.03.2015
820,45,115,4,29.07.2015
821,66,367,1,06.08.2014
822,59,422,14,28.09.2014
823,31,1,13,09.05.2014
824,56,296,11,03.02.2015
825,43,328,14,19.12.2014
826,52,344,7,20.08.2015
827,57,249,9,12.05.2015
828,68,348,13,30.11.2014
829,6,370,19,28.01.2016
830,19,219,18,22.04.2015
831,17,380,7,22.05.2015
832,40,367,9,25.05.2014
833,46,470,16,01.11.2015
834,39,488,15,23.12.2014
835,61,237,6,24.01.2014
836,48,328,11,27.10.2015
837,17,41,17,29.03.2014
838,36,237,13,27.08.2014
839,48,116,14,25.02.2014
840,7,416,11,25.11.2014
841,53,120,5,28.12.2014
842,15,11,9,04.03.2014
843,18,160,2,07.09.2015
844,17,307,7,01.06.2015
845,6,138,17,09.09.2014
846,36,317,20,01.09.2015
847,31,339,11,08.10.2015
848,58,440,1,14.09.2015
849,58,29,13,01.01.2014
850,15,177,17,23.10.2015
851,33,191,7,09.04.2015
852,71,147,2,28.12.2015
853,34,184,5,25.04.2014
854,65,408,12,03.12.2015
855,36,252,12,17.09.2015
856,71,290,14,11.05.2015
857,42,290,3,15.11.2014
858,53,151,10,15.09.2014
859,13,166,6,26.09.2014
860,24,86,5,09.12.2014
861,10,308,20,08.03.2015
862,42,480,11,06.03.2014
863,67,365,10,15.10.2015
864,45,21,6,21.01.2016
865,60,364,1,05.09.2015
866,33,244,16,13.01.2016
867,37,335,3,15.11.2015
868,55,221,4,25.07.2014
869,47,213,20,26.02.2014
870,50,281,19,17.03.2015
871,53,95,4,07.10.2014
872,28,454,11,12.09.2015
873,45,191,3,06.02.2014
874,61,147,16,05.12.2014
875,64,14,17,09.06.2014
876,60,148,1,21.10.2015
877,42,74,14,29.04.2015
878,43,152,8,19.04.2015
879,65,365,7,22.05.2014
880,60,324,4,06.09.2014
881,43,414,5,20.01.2014
882,47,187,6,27.04.2015
883,64,172,4,20.06.2014
884,33,150,16,24.01.2015
885,30,377,9,28.05.2014
886,17,177,7,24.03.2014
887,28,286,11,09.06.2014
888,42,416,2,08.12.2013
889,25,392,13,16.02.2015
890,12,133,17,28.11.2015
891,44,213,6,02.02.2015
892,62,327,2,28.02.2014
893,5,221,14,03.11.2015
894,70,459,18,25.01.2014
895,48,415,14,01.11.2015
896,15,314,19,23.01.2014
897,23,329,11,03.01.2014
898,12,245,18,02.05.2015
899,46,474,5,13.02.2014
900,49,289,7,11.05.2015
901,60,495,19,18.12.2015
902,48,361,15,03.05.2014
903,34,246,18,18.12.2015
904,67,242,2,29.04.2015
905,68,183,17,07.01.2016
906,11,9,16,14.02.2015
907,60,500,3,19.10.2015
908,6,474,10,19.05.2014
909,69,487,8,22.01.2014
910,60,492,12,22.04.2015
911,69,494,10,25.01.2014
912,9,158,12,09.01.2016
913,25,370,2,11.11.2015
914,16,263,14,30.10.2015
915,57,292,13,12.01.2016
916,16,402,9,22.03.2015
917,21,462,18,21.11.2015
918,28,450,16,17.09.2015
919,28,134,11,26.05.2014
920,27,347,13,06.06.2014
921,30,337,10,24.11.2014
922,26,13,3,15.10.2014
923,64,412,19,01.05.2014
924,23,56,8,20.03.2014
925,13,260,2,26.01.2015
926,45,340,13,13.08.2015
927,69,246,4,22.10.2015
928,46,240,18,10.12.2013
929,23,392,6,19.01.2015
930,53,255,3,26.05.2015
