"StatID","TeamID","PlayerID","SeasonType","Season","Name","Team","Position","Started","GameID","OpponentID","Opponent","Day","DateTime","HomeOrAway","Minutes","Seconds","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlusMinus"
220,24,20000657,3,2015,"Matt Bonner","SA","FC",0,4,28,"LAC","2015-04-19","2015-04-19T22:30:00","AWAY",4,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2
227,28,20000664,3,2015,"Chris Paul","LAC","G",1,4,24,"SA","2015-04-19","2015-04-19T22:30:00","HOME",37,48,13,20,65,70,10,15,66.7,3,5,60,3,4,75,0,7,7,6,2,0,3,3,32,21.76,72.7,20
228,28,20000665,3,2015,"J.J. Redick","LAC","G",1,4,24,"SA","2015-04-19","2015-04-19T22:30:00","HOME",35,34,4,13,30.8,38.5,2,7,28.6,2,6,33.3,0,0,0,0,3,3,2,0,0,2,2,10,13,38.5,15
13111,26,20000487,3,2015,"Andre Iguodala","GS","GF",0,6,23,"NO","2015-04-20","2015-04-20T22:30:00","HOME",30,18,2,7,28.6,28.6,1,3,33.3,1,4,25,0,0,0,2,4,6,2,0,0,0,2,5,7,35.7,0
13114,26,20000491,3,2015,"Marreese Speights","GS","FC",0,6,23,"NO","2015-04-20","2015-04-20T22:30:00","HOME",12,34,2,7,28.6,28.6,2,7,28.6,0,0,0,1,2,50,2,2,4,1,1,2,0,1,5,7.88,31.2,7
13152,9,20000557,3,2015,"Brandon Bass","BOS","F",1,7,12,"CLE","2015-04-21","2015-04-21T19:00:00","AWAY",15,2,0,6,0,0,0,6,0,0,0,0,2,2,100,1,1,2,3,1,2,0,0,2,6.88,14.3,-13
13166,12,20000571,3,2015,"LeBron James","CLE","F",1,7,9,"BOS","2015-04-21","2015-04-21T19:00:00","HOME",41,48,11,22,50,54.5,10,17,58.8,1,5,20,7,8,87.5,1,8,9,7,0,2,6,3,30,25.52,58.8,11
13211,1,20000438,3,2015,"Paul Pierce","WAS","F",1,8,10,"TOR","2015-04-21","2015-04-21T20:00:00","AWAY",27,21,2,7,28.6,42.9,0,3,0,2,4,50,4,6,66.7,0,2,2,2,1,1,3,3,10,9.64,52.6,7
13288,22,20000543,3,2015,"Dwight Howard","HOU","C",1,9,25,"DAL","2015-04-21","2015-04-21T21:30:00","HOME",33,5,10,15,66.7,66.7,10,15,66.7,0,0,0,8,11,72.7,5,7,12,2,0,2,2,4,28,19.84,70,22
13290,22,20000545,3,2015,"Jason Terry","HOU","G",1,9,25,"DAL","2015-04-21","2015-04-21T21:30:00","HOME",23,49,3,3,100,133.3,1,1,100,2,2,100,0,1,0,0,2,2,2,1,0,0,2,8,3.44,114.3,11
13292,22,20000546,3,2015,"Josh Smith","HOU","F",0,9,25,"DAL","2015-04-21","2015-04-21T21:30:00","HOME",25,41,7,15,46.7,53.3,6,10,60,1,5,20,0,1,0,3,5,8,9,1,1,2,5,15,15.44,48.4,8
13330,8,20000586,3,2015,"Joe Johnson","BKN","F",1,10,3,"ATL","2015-04-22","2015-04-22T19:00:00","AWAY",39,26,6,16,37.5,50,3,8,37.5,3,8,37.5,4,4,100,0,9,9,3,1,0,1,3,19,17.76,52.8,-18
13345,3,20000602,3,2015,"Paul Millsap","ATL","F",1,10,8,"BKN","2015-04-22","2015-04-22T19:00:00","HOME",34,3,7,11,63.6,81.8,3,7,42.9,4,4,100,1,2,50,2,5,7,2,0,2,1,2,19,11.88,79.2,17
13406,21,20000633,3,2015,"Marc Gasol","MEM","C",1,11,19,"POR","2015-04-22","2015-04-22T20:00:00","HOME",35,7,4,15,26.7,26.7,4,15,26.7,0,0,0,7,7,100,1,6,7,5,1,3,0,2,15,18.08,41.7,3
13407,21,20000634,3,2015,"Courtney Lee","MEM","G",1,11,19,"POR","2015-04-22","2015-04-22T20:00:00","HOME",33,8,8,11,72.7,81.8,6,8,75,2,3,66.7,0,1,0,1,1,2,1,3,0,0,1,18,11.44,78.3,3
13408,21,20000635,3,2015,"Mike Conley","MEM","G",1,11,19,"POR","2015-04-22","2015-04-22T20:00:00","HOME",29,16,6,11,54.5,63.6,4,8,50,2,3,66.7,4,4,100,0,1,1,6,1,0,2,0,18,12.76,69.2,6
37299,24,20000647,3,2015,"Tim Duncan","SA","F",1,12,28,"LAC","2015-04-22","2015-04-22T22:30:00","AWAY",44,1,14,23,60.9,60.9,14,22,63.6,0,1,0,0,1,0,1,10,11,4,2,1,1,5,28,23.44,59.6,9
37302,24,20000649,3,2015,"Tony Parker","SA","G",1,12,28,"LAC","2015-04-22","2015-04-22T22:30:00","AWAY",29,49,0,6,0,0,0,6,0,0,0,0,1,2,50,1,1,2,5,1,0,0,3,1,6.88,7.1,7
37304,24,20000651,3,2015,"Boris Diaw","SA","FC",0,12,28,"LAC","2015-04-22","2015-04-22T22:30:00","AWAY",37,13,6,14,42.9,42.9,6,12,50,0,2,0,0,0,0,2,7,9,6,2,1,0,4,12,14,42.9,-7
37308,24,20000657,3,2015,"Matt Bonner","SA","FC",0,12,28,"LAC","2015-04-22","2015-04-22T22:30:00","AWAY",5,17,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,8
37317,28,20000665,3,2015,"J.J. Redick","LAC","G",1,12,24,"SA","2015-04-22","2015-04-22T22:30:00","HOME",47,24,4,12,33.3,50,0,3,0,4,9,44.4,4,5,80,0,4,4,2,1,0,1,2,16,14.2,57.1,-5
37318,28,20000664,3,2015,"Chris Paul","LAC","G",1,12,24,"SA","2015-04-22","2015-04-22T22:30:00","HOME",43,17,8,15,53.3,66.7,5,10,50,3,5,60,2,2,100,1,7,8,7,1,1,3,5,21,15.88,65.6,-5
37329,12,20000571,3,2015,"LeBron James","CLE","F",1,13,9,"BOS","2015-04-23","2015-04-23T19:00:00","AWAY",41,58,13,26,50,53.8,12,21,57.1,1,5,20,4,5,80,1,10,11,4,4,2,2,1,31,28.2,55.4,2
37345,9,20000557,3,2015,"Brandon Bass","BOS","F",1,13,12,"CLE","2015-04-23","2015-04-23T19:00:00","HOME",22,26,2,3,66.7,66.7,2,3,66.7,0,0,0,0,0,0,0,2,2,3,0,1,0,0,4,3,66.7,-12
37393,26,20000487,3,2015,"Andre Iguodala","GS","GF",0,15,23,"NO","2015-04-23","2015-04-23T21:30:00","AWAY",26,9,2,8,25,25,2,3,66.7,0,5,0,0,1,0,0,1,1,4,0,0,0,1,4,8.44,23.5,-12
37396,26,20000491,3,2015,"Marreese Speights","GS","FC",0,15,23,"NO","2015-04-23","2015-04-23T21:30:00","AWAY",10,39,1,7,14.3,14.3,1,7,14.3,0,0,0,0,0,0,3,1,4,1,0,1,1,4,2,7,14.3,-4
37419,22,20000543,3,2015,"Dwight Howard","HOU","C",1,16,25,"DAL","2015-04-24","2015-04-24T19:00:00","AWAY",38,17,5,10,50,50,5,10,50,0,0,0,3,5,60,11,15,26,3,2,2,3,3,13,12.2,54.2,16
37421,22,20000545,3,2015,"Jason Terry","HOU","G",1,16,25,"DAL","2015-04-24","2015-04-24T19:00:00","AWAY",27,22,3,7,42.9,57.1,2,5,40,1,2,50,0,0,0,0,0,0,2,0,0,0,3,7,7,50,16
37422,22,20000546,3,2015,"Josh Smith","HOU","F",0,16,25,"DAL","2015-04-24","2015-04-24T19:00:00","AWAY",26,53,7,15,46.7,53.3,5,10,50,2,5,40,2,4,50,1,2,3,4,0,0,2,4,18,16.76,52.9,-10
37462,1,20000438,3,2015,"Paul Pierce","WAS","F",1,17,10,"TOR","2015-04-24","2015-04-24T20:00:00","HOME",27,20,5,9,55.6,77.8,1,2,50,4,7,57.1,4,4,100,0,3,3,0,0,0,1,5,18,10.76,81.8,1
37480,28,20000664,3,2015,"Chris Paul","LAC","G",1,18,24,"SA","2015-04-24","2015-04-24T21:30:00","AWAY",33,16,3,11,27.3,36.4,2,7,28.6,1,4,25,0,0,0,0,3,3,4,2,0,6,4,7,11,31.8,-27
37481,28,20000665,3,2015,"J.J. Redick","LAC","G",1,18,24,"SA","2015-04-24","2015-04-24T21:30:00","AWAY",31,27,2,7,28.6,28.6,1,3,33.3,1,4,25,2,2,100,0,1,1,0,1,0,2,1,7,7.88,43.8,-24
37492,24,20000647,3,2015,"Tim Duncan","SA","F",1,18,28,"LAC","2015-04-24","2015-04-24T21:30:00","HOME",30,39,2,6,33.3,33.3,2,6,33.3,0,0,0,0,2,0,1,6,7,4,1,3,1,1,4,6.88,28.6,23
37496,24,20000649,3,2015,"Tony Parker","SA","G",1,18,28,"LAC","2015-04-24","2015-04-24T21:30:00","HOME",25,42,3,11,27.3,27.3,3,9,33.3,0,2,0,0,0,0,0,3,3,3,0,0,2,1,6,11,27.3,23
37497,24,20000651,3,2015,"Boris Diaw","SA","FC",0,18,28,"LAC","2015-04-24","2015-04-24T21:30:00","HOME",23,0,5,8,62.5,62.5,5,7,71.4,0,1,0,5,6,83.3,1,5,6,3,1,1,1,3,15,10.64,71.4,18
37499,24,20000657,3,2015,"Matt Bonner","SA","FC",0,18,28,"LAC","2015-04-24","2015-04-24T21:30:00","HOME",15,38,1,5,20,40,0,0,0,1,5,20,0,0,0,0,2,2,1,0,0,1,1,3,5,30,1
191319,3,20000602,3,2015,"Paul Millsap","ATL","F",1,19,8,"BKN","2015-04-25","2015-04-25T15:00:00","AWAY",34,30,7,18,38.9,44.4,5,14,35.7,2,4,50,2,2,100,6,11,17,3,5,1,1,3,18,18.88,47.4,-1
191334,8,20000586,3,2015,"Joe Johnson","BKN","F",1,19,3,"ATL","2015-04-25","2015-04-25T15:00:00","HOME",42,21,5,17,29.4,35.3,3,10,30,2,7,28.6,4,5,80,2,8,10,5,2,0,2,4,16,19.2,42.1,-1
191387,26,20000487,3,2015,"Andre Iguodala","GS","GF",0,21,23,"NO","2015-04-25","2015-04-25T20:00:00","AWAY",24,24,3,8,37.5,37.5,3,5,60,0,3,0,2,2,100,1,1,2,2,1,0,0,2,8,8.88,44.4,0
191391,26,20000491,3,2015,"Marreese Speights","GS","FC",0,21,23,"NO","2015-04-25","2015-04-25T20:00:00","AWAY",4,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,-6
191415,21,20000633,3,2015,"Marc Gasol","MEM","C",1,22,19,"POR","2015-04-25","2015-04-25T22:30:00","AWAY",38,32,6,17,35.3,35.3,6,17,35.3,0,0,0,13,14,92.9,1,6,7,4,0,3,0,2,25,23.16,54.3,5
191416,21,20000634,3,2015,"Courtney Lee","MEM","G",1,22,19,"POR","2015-04-25","2015-04-25T22:30:00","AWAY",33,27,5,8,62.5,75,4,6,66.7,1,2,50,9,9,100,0,5,5,1,1,0,1,5,20,11.96,83.3,2
191417,21,20000635,3,2015,"Mike Conley","MEM","G",1,22,19,"POR","2015-04-25","2015-04-25T22:30:00","AWAY",26,0,6,14,42.9,42.9,5,11,45.5,1,3,33.3,1,1,100,0,3,3,4,1,0,0,1,14,14.44,48.3,14
191445,12,20000571,3,2015,"LeBron James","CLE","F",1,23,9,"BOS","2015-04-26","2015-04-26T13:00:00","AWAY",46,22,10,24,41.7,41.7,9,17,52.9,1,7,14.3,6,10,60,0,10,10,8,3,1,6,2,27,28.4,47.4,7
191460,9,20000557,3,2015,"Brandon Bass","BOS","F",1,23,12,"CLE","2015-04-26","2015-04-26T13:00:00","HOME",21,39,2,5,40,40,2,5,40,0,0,0,0,4,0,2,1,3,2,0,0,2,2,4,6.76,28.6,-6
191480,28,20000664,3,2015,"Chris Paul","LAC","G",1,24,24,"SA","2015-04-26","2015-04-26T15:30:00","AWAY",38,13,11,19,57.9,63.2,9,13,69.2,2,6,33.3,10,10,100,0,3,3,7,1,1,2,5,34,23.4,72.3,6
191481,28,20000665,3,2015,"J.J. Redick","LAC","G",1,24,24,"SA","2015-04-26","2015-04-26T15:30:00","AWAY",36,59,6,12,50,66.7,3,6,50,3,6,50,2,2,100,0,3,3,1,2,0,2,3,17,12.88,65.4,2
191493,24,20000647,3,2015,"Tim Duncan","SA","F",1,24,28,"LAC","2015-04-26","2015-04-26T15:30:00","HOME",37,41,8,13,61.5,61.5,8,13,61.5,0,0,0,6,10,60,4,10,14,3,2,3,2,6,22,17.4,62.9,-8
191495,24,20000649,3,2015,"Tony Parker","SA","G",1,24,28,"LAC","2015-04-26","2015-04-26T15:30:00","HOME",28,44,7,15,46.7,46.7,7,12,58.3,0,3,0,4,8,50,0,2,2,1,0,0,0,1,18,18.52,48.6,-1
191497,24,20000651,3,2015,"Boris Diaw","SA","FC",0,24,28,"LAC","2015-04-26","2015-04-26T15:30:00","HOME",31,2,4,7,57.1,57.1,4,6,66.7,0,1,0,2,2,100,2,5,7,3,0,0,0,4,10,7.88,62.5,-11
191501,24,20000657,3,2015,"Matt Bonner","SA","FC",0,24,28,"LAC","2015-04-26","2015-04-26T15:30:00","HOME",5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
191525,1,20000438,3,2015,"Paul Pierce","WAS","F",1,25,10,"TOR","2015-04-26","2015-04-26T18:30:00","HOME",22,25,5,7,71.4,100,1,1,100,4,6,66.7,0,0,0,0,4,4,2,1,1,1,0,14,7,100,20
191543,22,20000543,3,2015,"Dwight Howard","HOU","C",1,26,25,"DAL","2015-04-26","2015-04-26T21:00:00","AWAY",35,47,5,7,71.4,71.4,5,7,71.4,0,0,0,3,13,23.1,0,7,7,1,1,2,2,4,13,12.72,52,-23
191545,22,20000545,3,2015,"Jason Terry","HOU","G",1,26,25,"DAL","2015-04-26","2015-04-26T21:00:00","AWAY",22,4,1,5,20,40,0,1,0,1,4,25,0,0,0,1,0,1,3,1,0,0,2,3,5,30,-19
191547,22,20000546,3,2015,"Josh Smith","HOU","F",0,26,25,"DAL","2015-04-26","2015-04-26T21:00:00","AWAY",27,44,8,10,80,100,4,5,80,4,5,80,3,6,50,3,3,6,3,1,1,3,3,23,12.64,92,13
191573,3,20000602,3,2015,"Paul Millsap","ATL","F",1,27,8,"BKN","2015-04-27","2015-04-27T19:00:00","AWAY",46,44,7,14,50,57.1,6,10,60,1,4,25,1,2,50,3,9,12,4,3,3,1,5,16,14.88,53.3,2
191588,8,20000586,3,2015,"Joe Johnson","BKN","F",1,27,3,"ATL","2015-04-27","2015-04-27T19:00:00","HOME",45,37,5,16,31.2,37.5,3,10,30,2,6,33.3,5,5,100,1,5,6,5,0,0,1,0,17,18.2,47.2,-12
191638,21,20000633,3,2015,"Marc Gasol","MEM","C",1,29,19,"POR","2015-04-27","2015-04-27T22:30:00","AWAY",41,12,7,16,43.8,43.8,7,15,46.7,0,1,0,7,8,87.5,0,7,7,6,0,1,2,2,21,19.52,53.8,-1
191639,21,20000634,3,2015,"Courtney Lee","MEM","G",1,29,19,"POR","2015-04-27","2015-04-27T22:30:00","AWAY",37,6,8,11,72.7,72.7,7,8,87.5,1,3,33.3,2,2,100,0,2,2,2,0,0,0,1,19,11.88,79.2,-2
191685,22,20000543,3,2015,"Dwight Howard","HOU","C",1,31,25,"DAL","2015-04-28","2015-04-28T20:00:00","HOME",38,30,7,14,50,50,7,14,50,0,0,0,4,10,40,3,16,19,0,4,4,4,3,18,18.4,48.6,6
191687,22,20000545,3,2015,"Jason Terry","HOU","G",1,31,25,"DAL","2015-04-28","2015-04-28T20:00:00","HOME",24,37,1,5,20,20,1,3,33.3,0,2,0,3,4,75,0,1,1,3,1,1,2,2,5,6.76,35.7,6
191689,22,20000546,3,2015,"Josh Smith","HOU","F",0,31,25,"DAL","2015-04-28","2015-04-28T20:00:00","HOME",22,27,7,12,58.3,66.7,5,6,83.3,2,6,33.3,4,8,50,2,6,8,2,1,0,4,3,20,15.52,64.5,4
191700,24,20000647,3,2015,"Tim Duncan","SA","F",1,33,28,"LAC","2015-04-28","2015-04-28T22:30:00","AWAY",38,30,8,13,61.5,61.5,8,13,61.5,0,0,0,5,6,83.3,2,9,11,4,3,1,1,3,21,15.64,67.7,0
191704,24,20000649,3,2015,"Tony Parker","SA","G",1,33,28,"LAC","2015-04-28","2015-04-28T22:30:00","AWAY",33,25,5,15,33.3,33.3,5,14,35.7,0,1,0,3,5,60,2,3,5,3,0,0,2,1,13,17.2,38.2,2
191705,24,20000651,3,2015,"Boris Diaw","SA","FC",0,33,28,"LAC","2015-04-28","2015-04-28T22:30:00","AWAY",23,59,4,7,57.1,57.1,3,5,60,1,2,50,1,2,50,1,6,7,0,1,0,1,5,10,7.88,62.5,13
191710,24,20000657,3,2015,"Matt Bonner","SA","FC",0,33,28,"LAC","2015-04-28","2015-04-28T22:30:00","AWAY",3,39,1,2,50,100,0,0,0,1,2,50,0,0,0,0,2,2,0,0,0,0,4,3,2,75,7
191718,28,20000665,3,2015,"J.J. Redick","LAC","G",1,33,24,"SA","2015-04-28","2015-04-28T22:30:00","HOME",41,41,6,10,60,60,6,10,60,0,0,0,1,2,50,0,2,2,1,2,0,2,6,13,10.88,59.1,-4
191719,28,20000664,3,2015,"Chris Paul","LAC","G",1,33,24,"SA","2015-04-28","2015-04-28T22:30:00","HOME",40,52,7,14,50,50,7,12,58.3,0,2,0,5,5,100,1,4,5,10,2,0,0,3,19,16.2,59.4,6
191732,8,20000586,3,2015,"Joe Johnson","BKN","F",1,34,3,"ATL","2015-04-29","2015-04-29T19:00:00","AWAY",44,6,7,15,46.7,53.3,4,7,57.1,3,8,37.5,1,2,50,1,8,9,4,0,0,1,3,18,15.88,56.2,-4
191748,3,20000602,3,2015,"Paul Millsap","ATL","F",1,34,8,"BKN","2015-04-29","2015-04-29T19:00:00","HOME",41,21,4,11,36.4,36.4,3,7,42.9,1,4,25,1,4,25,2,4,6,3,1,0,2,2,10,12.76,38.5,14
191781,21,20000633,3,2015,"Marc Gasol","MEM","C",1,36,19,"POR","2015-04-29","2015-04-29T21:30:00","HOME",37,35,9,15,60,60,9,15,60,0,0,0,8,10,80,2,12,14,3,0,2,3,3,26,19.4,66.7,4
191782,21,20000634,3,2015,"Courtney Lee","MEM","G",1,36,19,"POR","2015-04-29","2015-04-29T21:30:00","HOME",34,34,8,12,66.7,66.7,8,11,72.7,0,1,0,4,4,100,0,1,1,1,2,0,2,2,20,13.76,71.4,2
191830,28,20000664,3,2015,"Chris Paul","LAC","G",1,40,24,"SA","2015-04-30","2015-04-30T21:30:00","AWAY",44,29,7,21,33.3,38.1,6,14,42.9,1,7,14.3,4,4,100,0,4,4,15,4,0,1,1,19,22.76,41.3,12
191831,28,20000665,3,2015,"J.J. Redick","LAC","G",1,40,24,"SA","2015-04-30","2015-04-30T21:30:00","AWAY",38,56,7,12,58.3,66.7,6,8,75,1,4,25,4,4,100,0,0,0,0,0,0,2,0,19,13.76,67.9,14
191843,24,20000647,3,2015,"Tim Duncan","SA","F",1,40,28,"LAC","2015-04-30","2015-04-30T21:30:00","HOME",31,47,6,9,66.7,66.7,6,9,66.7,0,0,0,0,2,0,3,10,13,3,0,0,1,4,12,9.88,60,0
191845,24,20000649,3,2015,"Tony Parker","SA","G",1,40,28,"LAC","2015-04-30","2015-04-30T21:30:00","HOME",30,9,4,12,33.3,33.3,4,12,33.3,0,0,0,0,0,0,0,4,4,7,0,0,2,4,8,12,33.3,-17
191847,24,20000651,3,2015,"Boris Diaw","SA","FC",0,40,28,"LAC","2015-04-30","2015-04-30T21:30:00","HOME",27,48,8,12,66.7,66.7,7,8,87.5,1,4,25,0,0,0,2,2,4,5,1,0,3,5,17,12,70.8,-1
191851,24,20000657,3,2015,"Matt Bonner","SA","FC",0,40,28,"LAC","2015-04-30","2015-04-30T21:30:00","HOME",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1,1,20000438,3,2015,"Paul Pierce","WAS","F",1,41,10,"TOR","2015-04-18","2015-04-18T12:30:00","AWAY",36,32,7,10,70,90,3,3,100,4,7,57.1,2,2,100,0,4,4,0,1,1,1,4,20,10.88,90.9,6
50,26,20000487,3,2015,"Andre Iguodala","GS","GF",0,42,23,"NO","2015-04-18","2015-04-18T15:30:00","HOME",31,18,2,6,33.3,33.3,1,2,50,1,4,25,3,6,50,0,4,4,3,1,0,0,2,8,8.64,47.1,-11
54,26,20000491,3,2015,"Marreese Speights","GS","FC",0,42,23,"NO","2015-04-18","2015-04-18T15:30:00","HOME",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
106,22,20000543,3,2015,"Dwight Howard","HOU","C",1,44,25,"DAL","2015-04-18","2015-04-18T21:30:00","HOME",17,22,5,9,55.6,55.6,5,9,55.6,0,0,0,1,2,50,0,5,5,0,1,5,1,5,11,9.88,55,12
108,22,20000545,3,2015,"Jason Terry","HOU","G",1,44,25,"DAL","2015-04-18","2015-04-18T21:30:00","HOME",25,49,6,10,60,80,2,3,66.7,4,7,57.1,0,0,0,0,4,4,1,2,0,2,2,16,10,80,15
109,22,20000546,3,2015,"Josh Smith","HOU","F",0,44,25,"DAL","2015-04-18","2015-04-18T21:30:00","HOME",25,20,5,14,35.7,35.7,5,12,41.7,0,2,0,1,4,25,2,5,7,1,1,2,4,1,11,15.76,34.4,3
191859,3,20000602,3,2015,"Paul Millsap","ATL","F",1,45,8,"BKN","2015-05-01","2015-05-01T20:00:00","AWAY",31,29,9,15,60,66.7,7,11,63.6,2,4,50,5,8,62.5,0,9,9,6,2,0,2,1,25,18.52,67.6,29
191874,8,20000586,3,2015,"Joe Johnson","BKN","F",1,45,3,"ATL","2015-05-01","2015-05-01T20:00:00","HOME",36,8,5,13,38.5,46.2,3,7,42.9,2,6,33.3,0,0,0,1,5,6,6,2,0,0,3,12,13,46.2,-26
191891,24,20000647,3,2015,"Tim Duncan","SA","F",1,52,28,"LAC","2015-05-02","2015-05-02T20:00:00","AWAY",37,17,11,16,68.8,68.8,11,16,68.8,0,0,0,5,8,62.5,4,7,11,1,0,0,0,3,27,19.52,69.2,-7
191895,24,20000649,3,2015,"Tony Parker","SA","G",1,52,28,"LAC","2015-05-02","2015-05-02T20:00:00","AWAY",33,40,10,21,47.6,47.6,10,20,50,0,1,0,0,0,0,1,4,5,5,1,0,3,3,20,21,47.6,-8
191896,24,20000651,3,2015,"Boris Diaw","SA","FC",0,52,28,"LAC","2015-05-02","2015-05-02T20:00:00","AWAY",26,40,5,11,45.5,54.5,3,8,37.5,2,3,66.7,0,1,0,3,1,4,3,0,0,3,1,12,11.44,52.2,-9
191900,24,20000657,3,2015,"Matt Bonner","SA","FC",0,52,28,"LAC","2015-05-02","2015-05-02T20:00:00","AWAY",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191909,28,20000665,3,2015,"J.J. Redick","LAC","G",1,52,24,"SA","2015-05-02","2015-05-02T20:00:00","HOME",41,50,5,11,45.5,63.6,1,4,25,4,7,57.1,0,0,0,0,3,3,3,1,1,1,4,14,11,63.6,3
191910,28,20000664,3,2015,"Chris Paul","LAC","G",1,52,24,"SA","2015-05-02","2015-05-02T20:00:00","HOME",37,1,9,13,69.2,92.3,4,7,57.1,5,6,83.3,4,4,100,0,2,2,6,2,1,1,1,27,14.76,90,6
284,24,20000647,1,2015,"Tim Duncan","SA","F",1,58,25,"DAL","2014-10-28","2014-10-28T20:00:00","HOME",30,11,5,10,50,50,5,10,50,0,0,0,4,5,80,5,8,13,2,1,2,5,0,14,12.2,58.3,-2
285,24,20000657,1,2015,"Matt Bonner","SA","C",1,58,25,"DAL","2014-10-28","2014-10-28T20:00:00","HOME",14,32,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,3,0,2,0,6
286,24,20000649,1,2015,"Tony Parker","SA","G",1,58,25,"DAL","2014-10-28","2014-10-28T20:00:00","HOME",34,50,9,15,60,73.3,5,11,45.5,4,4,100,1,2,50,1,2,3,3,0,0,1,2,23,15.88,71.9,-6
288,24,20000651,1,2015,"Boris Diaw","SA","FC",0,58,25,"DAL","2014-10-28","2014-10-28T20:00:00","HOME",33,28,2,6,33.3,33.3,1,3,33.3,1,3,33.3,0,0,0,1,8,9,6,0,0,4,2,5,6,41.7,-5
